지번 주소,토지면적(㎡),연면적(㎡),용도지역,주구조,주용도,층수,세대/가구/호,주차대수,사용승인일,인접역,거리(m),매가(만원),보증금(만원),월세(만원),실투자금,융자제외수익률(%),광고(자동완성),사진링크,지도,대표사진,대표
영등포구 대림동 686-1,288.80,327.07,제2종일반주거지역,벽돌구조,단독주택,-1/2,0/11/0,0,1989-04-21,대림역,1000,176000,4500,240,171500,1.7,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 2,7호선 대림역 도보권, 환승역으로 평단가 저렴한 다가구 주택 매매
- 약 88평 넓은 대지로 임대 수익, 재건축 가치 병행 가능한 이중 수익 창출 
  기대
- 전통시장, 대형마트, 병원, 학교 등 도보 생활권으로 편리
- 매매금액 : 17억 6000만원
- 임대내역 : 보증금 4500만원/월세 240만원 (관리비포함)
- 건물현황 : 지층/1층 원룸 5호 씩 총 10호, 2층 주인세대 방3/화2
- 대지면적 : 288.8㎡(약87.5평) / 연면적 : 327.07㎡(약99.1평)
- 층수 : 지하1층/지상2층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남서향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1989-04-21
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=15N-gE47OHJaN0YOzKV7FaqIT3qbK0bFV&usp=drive_fs,https://map.kakao.com/link/search/영등포구대림동686-1,KakaoTalk_20241211_115242268_04.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/K7WnlhRNS5rIhfXXlK9SBw/VxMTYCC6oyp8zs6JeSGMx0ZuFrRI6rNbVObKv2zjaGywKVm3J5OTBBKAa9RJdtBE-6oYReGox1lhtk-ef7_ICqMCOMB4usEzwL8hqH5yh0CvNeF9gnh4LLa1Z7RMkO8EOaT_Gypf5BgC-K-Z693biO5GOPJALe_YlCk5jLqacUhEgirhA3DpKWv9J-VsyyiJ/-dzKRPekFaB1YkhrVhUNUHY5BsTyYs00GDsWtf1Pi-o),
강서구 화곡동 105-141,269.00,505.14,제2종일반주거지역,철근콘크리트구조,단독주택,-1/3,0/10/0,4,1994-07-08,화곡역,332,260000,15000,400,245000,2.0,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 화곡역 도보 5분 초역세권 수익형 다가구 매매
- 5호선 역세권 81평 넓은 대지로 활용가치 높은 토지
- 매매금액 : 26억 
- 임대내역 : 보증금 1억 5000만원/월세 400만원 (관리비포함)
- 건물현황 : 지층/1층/2층 투룸 3가구 씩, 3층 방3/화2 (약45평)
- 대지면적 : 269㎡(약81.5평) / 연면적 : 505.14㎡(약153.1평)
- 층수 : 지하1층/지상3층
- 주차 : 4대
- 승강기 : 없음
- 방향 : 북동향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1994-07-08
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1wiazXWpV5aJGA2sPm8zX6PWRn-lmIop8&usp=drive_fs,https://map.kakao.com/link/search/강서구화곡동105-141,KakaoTalk_20250823_191056972_04.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/vv2Mt57DDbteZVG9dbUHRA/XLrUeLh7rkyfK2OrYbms6msqDAW1Bn7xPP_5xUfEoor0TnvdMjWo5Zrnu81zsedM3gEdDHPMxyfa1yfU0QtHzIXGmdV8F-mS_x6PNLoV3IPa7DcjRN_MOTB2lDCiWx47LTmb2Hb-tdOBjctL3Tn94ZRDNuPcPeWThmBl5kPo2mvczxVJHEYI24O53992h4lq/TqgsUJT4-srfidnCeoL_-qIzcW7smlaPU8jrH6TcW0M),
관악구 봉천동 1596-13,406.70,650.04,제3종일반주거지역,철근콘크리트구조,단독주택,-1/3,0/18/0,5,1998-03-31,서울대입구역,632,320000,48000,1200,272000,5.3,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 2호선 서울대입구역 도보 약 10분 넓은대지 낮은평단가 주택매매
- 샤로수길 인근으로 상권도 잘 갖춰진 지역
- 재건축에 유리한 넓은 대지와 낮은 평단가
- 매매금액 : 32억 
- 임대내역 : 보증금 4억 8000만원/월세 1200만원 (관리비포함)
- 건물현황 : 원룸 9, 투룸 10
- 대지면적 : 406.7㎡(약123.2평) / 연면적 : 650.04㎡(약197평)
- 층수 : 지하1층/지상3층
- 주차 : 5대
- 승강기 : 없음
- 방향 : 남향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제3종일반주거지역
- 위반건축물 : O
- 사용승인일 : 1998-03-31
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1ZtzgabDAzIXGPJd-rA8BM1upWwejCIgZ&usp=drive_fs,https://map.kakao.com/link/search/관악구봉천동1596-13,KakaoTalk_20240817_105546460_04.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/KIwk7_1t34ZrVi0ra_Xzsg/i0jHgLRlSTvIXAPMbX6cyZgasDwIGAnk9DFqKy_ELS69UYsvjpmUt32LDX5wyavUH49bBaHxUGkqnR_IsDNDnBp5HO2t8gh-bZ0vAvsT_k7la7jShWx_KyvQLqY5TvXS2ZC1245Rj_olCpWrOAQESGRLIH7GX2t-bd2iS3g-NyNrpU_vRDBk_m4ewpB7wXV-/vBUNQ2R3t_chw8z3GYX3bNkUFMKhRe611mnyr1U14AE),
금천구 독산동 969-6,377.60,491.90,제2종일반주거지역,벽돌구조,제1종근린생활시설,-1/2,0/1/0,0,1970-12-15,신독산역(예정),827,320000,,,320000,0.0,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 독산동 대지 114평 빌라 건축 최적의 위치 매매
- 초등학교 인근으로 거주여건 우수
- 매매금액 : 32억 
- 건물현황 : 올근생
- 대지면적 : 377.6㎡(약114.4평) / 연면적 : 491.9㎡(약149.1평)
- 층수 : 지하1층/지상2층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남향 (주출입구 기준, 호실별 상이함)
- 주용도 : 제1종근린생활시설
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1970-12-15
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1BAz7LwI6ZMQglH8mZIO0qdx7rWlk4veA&usp=drive_fs,https://map.kakao.com/link/search/금천구독산동969-6,2024-11-15 16 28 05.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/zLXUcBfMM3OY7NsvsKy2ew/eZ7n1uqVLFhuDu2coZ3iGl9f-n4424nAhwgbk8b2sEsYYeE0TPcOb_n_QSV75ZvcKCIUlbcKjD0VzdipIqJmdeZ1drVJvi0psrSVMOR9nshtNMB3GaWoAW4UcxPPyefp5Rl3l9gNDMXTgXVxIZrRDG9hgXnvv6DfwypBbOHafRo/wU6z-YLWxsjFc7zvFQlh-dXGaivuhntCCh3OK56Z5Gk),
"금천구 독산동 958-106, 958-18",446.10,494.59,제2종일반주거지역,연와조,주택,-1/2,0/2/0,,1974-07-15,구로디지털단지역,927,338000,,,338000,0.0,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 독산동 대지 135평 재건축 추천 매물
- 시흥대로 시흥IC 2분 거리 차량 접근성 우수, 구디역 도보권
- 매매금액 : 33억 8000만원
- 건물현황 : 두 필지 합계 135평 재건축용
- 대지면적 : 446.1㎡(약135.2평) / 연면적 : 494.59㎡(약149.9평)
- 층수 : 지하1층/지상2층
- 주차 : 대
- 승강기 : 없음
- 방향 : 서향 (주출입구 기준, 호실별 상이함)
- 주용도 : 주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1974-07-15
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1PfQ-orgisGamBpcd1ekI74pvklRZYRTn&usp=drive_fs,"https://map.kakao.com/link/search/금천구독산동958-106,958-18",20241112_152537.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/YQnBCCiIgDFoYcO7NmCpbQ/_8UPLeu62gCPea3rACDD2TGmvZVrAB1triS3jSxI0rYmEQMvii5lGZplSmpV1p86PrYxLluHtqi8e1yeKkAqyI_KBFFgJOBv16-VAEdMyIV6D_Y3LK0L0jk4Cl_FL-7bd4TlmCR3v1ns-1nStAIz2Cjl6kztMfoGs3aPHJ_Dn-g/ajoexyOXH9YbNfkyptcf2g6cNQW3ybn3mrUh3yYYEvA),
관악구 신림동 1571-18,290.30,626.92,제3종일반주거지역,철근콘크리트구조,제1종근린생활시설,-1/3,0/2/0,4,1988-11-10,신림역,904,350000,70000,350,280000,1.5,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 남부순환로 이면도로 가시성 좋은 대지 88평 코너건물 매매
- 2호선 신림역 도보 13분 이동가능
- 주거단지 학교 등 인근 위치하여 빌라 재건축에 매우 용이
- 매매금액 : 35억 
- 임대내역 : 보증금 7억원/월세 350만원 (관리비포함)
- 건물현황 : 상가 3호, 1층 원룸 1, 3룸 1, 2층 투룸 4, 3층 투룸 1, 주인세대(방3/화2), 옥탑 원룸 1
- 대지면적 : 290.3㎡(약88평) / 연면적 : 626.92㎡(약190평)
- 층수 : 지하1층/지상3층
- 주차 : 4대
- 승강기 : 없음
- 방향 : 남서향 (주출입구 기준, 호실별 상이함)
- 주용도 : 제1종근린생활시설
- 용도지역 : 제3종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1988-11-10
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1SsXvIVXTPibKVL-P_0C3eyHINL729jtx&usp=drive_fs,https://map.kakao.com/link/search/관악구신림동1571-18,KakaoTalk_20250528_163339109_02.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/DaL7zr9B9UHa_-tMAjI6lg/022KstWm-bHQe4s9PrBqIJdTYoFgr8nilqnQdw1w7zI2dKRPcf1FogmJQL3QRPPFHSP7e_X-NU66HA4nI-w3YDPan1G4FaD5LyAQcuQshC7So3iNJzIm6JBwPrYpouTdi4uRjhWsC8abwpCXOvAMDwd8UkHRFEordJ2pFw8zI8n0-V8S6sxGTrxvO7ZNevqc/AobKZYIILNtmjOOy88U1-GqYbLVB0JffemxetDE3ykE),
관악구 신림동 542-5,386.80,161.63,제2종일반주거지역,벽돌구조,제1종근린생활시설,-1/1,0/0/0,0,1974-07-03,신대방역,795,387000,,,387000,0.0,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 신림중앙시장 인근 넓은 대지로 빌라 신축 최적의 건물 매매
- 117평 넓은 대지로 재건축 용도에 최적
- 2호선 신대방역 도보권, 난곡선 수혜지역
- 넓은 대지, 평지 위치, 시장인근, 역세권 모두 갖춘 흔치 않은 대지
- 명도 협의되어 신축에 용이
- 매매금액 : 38억 7000만원
- 건물현황 : 상가, 건물 별도 등기
- 대지면적 : 386.8㎡(약117.2평) / 연면적 : 161.63㎡(약49평)
- 층수 : 지하1층/지상1층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 북동향 (주출입구 기준, 호실별 상이함)
- 주용도 : 제1종근린생활시설
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1974-07-03
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1WDjGLfu3NTk6SmxMexVyr-_bOHm6IrHp&usp=drive_fs,https://map.kakao.com/link/search/관악구신림동542-5,KakaoTalk_20240910_173254989_01.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/9HbNIhWDPsXCmIzxJw1nLA/KxM5KyehKHYtAAhm_riEl5vqQgkIr61TIC1WCuTGNjzweHv5NAr9UEl6zDkt99G1NSgh94QpeAJd3UHC_JSgrpHFM4Ufi_OAQmisj6rtvjNgXLHeuCdQX-JO_r5F8dqIdztusunb3BFuHsDNaUaXXU0QueqITNpXJW7kfEIYxb7DeHtg7lgc68FO6_b00rAZ/1OZef92C4X22iVm_44Tpgv-aeUFswSmyWbaTQUR87_M),
관악구 신림동 11-13,301.00,326.49,준주거지역,벽돌구조,단독주택,-1/2,0/5/0,1,1993-09-20,신림역,168,410000,,,410000,0.0,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 신림역 도보 3분 최상의 수익률 가능한 재건축용 대지 매매
- 2호선/신림선 더블 신림역 도보 3분
- 대지 91평 준주거지역
- 매매금액 : 41억 
- 건물현황 : 단독주택 전체 공실
- 대지면적 : 301㎡(약91.2평) / 연면적 : 326.49㎡(약98.9평)
- 층수 : 지하1층/지상2층
- 주차 : 1대
- 승강기 : 없음
- 방향 : 서향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 준주거지역
- 위반건축물 : X
- 사용승인일 : 1993-09-20
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1aSFjxYe7T0SlbsS-efM3QhLW4qf5fouv&usp=drive_fs,https://map.kakao.com/link/search/관악구신림동11-13,KakaoTalk_20240913_134744115_04.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/Vv4p1d_fgR1GA6bkvWpvdw/3J3n5ABOq1ZV4a5oM-1wzsRLeUn8dL68HtdK0kXkqp-jLcIz9cCSPTr0kigFJ-CF9FvpDx0rwirRA7b-b978_NAndi4niw11Y3FpE5Qp2vYZJR6BBfXdKCtZSB2WJbklEY-JUl9Im7RwpPdVr6vloxTdTKB7ttRYZPsuCskJeaOh0XHIXir6R5DfefkwIJ1D/GQmdnMnmnS5RRYKU-KNUIV8OHILR22PcnE8ZjrGrW5I),
강서구 화곡동 370-51,317.70,620.46,제2종일반주거지역,철근콘크리트구조,제1종근린생활시설,-1/3,0/0/0,0,1974-06-24,화곡역,925,420000,16000,1050,404000,3.1,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 화곡역 도보 15분 96평 넘는 대지 사거리 코너건물
- 인근 재개발 활발한 지역으로 수혜를 누릴 수 있는 최적지
- 유동인구 많은 주택단지 중심으로 재건축 시 높은 수익률 기대
- 매매금액 : 42억 
- 임대내역 : 보증금 1억 6000만원/월세 1050만원 (관리비포함)
- 건물현황 : 올근생
- 대지면적 : 317.7㎡(약96.3평) / 연면적 : 620.46㎡(약188평)
- 층수 : 지하1층/지상3층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 북서향 (주출입구 기준, 호실별 상이함)
- 주용도 : 제1종근린생활시설
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1974-06-24
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1f0OdCBaLsMVYlElFRfo_l0geRetzjDHp&usp=drive_fs,https://map.kakao.com/link/search/강서구화곡동370-51,002.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/zahTGJnvFc4I8H_ez57AtQ/rTwGeJDFM4jRDgmT_HAph-qUP-Uengs2vr5HEE-p1z1ydV6JA9Q0aF05GDT4LA9G5zgNVwGGEIAw2ofjRE-PBktp6Gr3_2lpEBiSTwZMGDE_l7AkOykvcgxFkeUbExRW_QQ0615kv0x0t2ulwogGww/Jo-h-4Ot7zo8vQSS6E38LfTHzZ8HEiBlFneq_Kd1qIA),
관악구 남현동 602-245,298.00,659.58,제2종일반주거지역,벽돌구조,단독주택,-2/3,0/13/0,5,1995-12-21,사당역,283,468000,150000,500,318000,1.9,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 사당역 도보 4분 90평 넓은 대지 다가구 건물 매매
- 2/4호선 더블역세권, 사당역환승센터 계획
- 현재도 좋지만 향후가 더 기대되는 최고의 입지
- 매매금액 : 46억 8000만원
- 임대내역 : 보증금 15억원/월세 500만원 (관리비포함)
- 건물현황 : 다가구 13호
- 대지면적 : 298㎡(약90.3평) / 연면적 : 659.58㎡(약199.9평)
- 층수 : 지하2층/지상3층
- 주차 : 5대
- 승강기 : 없음
- 방향 : 북동향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1995-12-21
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1trWrquDLDlG2ax7ui_fbAUqlo02dYLhd&usp=drive_fs,https://map.kakao.com/link/search/관악구남현동602-245,20250401_172315.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/H824jaZ-Z9AVfyWYxQNCrQ/Mo1Rvi8vxeB0-mgfRqYxZcQpEMvWOGUlKgVuaayaPe6_ef-R6MRaOKMA0X7TRSXVef9RKNcwWxN7r8VgJWO8r6yDsoBtkMnm7v7ZvnIznFfKK0PoYlIVHsr0T6F1PYoauLvvgFieMJQ5YxXnT8N3om4bNT3x801ddzMz3_rlBZk/ogX12NVhc7H6JpRRF39AXidSEgMZb8i_rfkxrLCHlxQ),
